City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,01-01-2018,256,185.93,332.92,152.71,116.58,2.32,162.46
Delhi,02-01-2018,264,173.23,319.98,151.08,144.35,3.07,158.4
Delhi,03-01-2018,266,188.95,341.09,120.59,158.39,2.46,183.79
Delhi,04-01-2018,276,206.46,395.59,158.49,180.49,2.61,198.32
Delhi,05-01-2018,261,171.32,361.42,106.75,206.72,2.92,177.17
Delhi,06-01-2018,259,171.32,302.37,127.65,196.82,2.53,185.29
Delhi,07-01-2018,280,207.58,424.43,94.02,140.62,1.65,154.56
Delhi,08-01-2018,267,191.35,340.11,182.97,164.85,3.08,163.14
Delhi,09-01-2018,256,166.61,291.13,138.21,178.29,3.19,197.14
Delhi,10-01-2018,289,186.85,379.58,198.17,168.13,1.64,173.17
Delhi,11-01-2018,238,166.73,344.45,164.07,167.92,2.04,153.95
Delhi,12-01-2018,231,166.69,342.24,155.2,124.32,3.57,160.81
Delhi,13-01-2018,276,180.84,304.12,129.34,141.42,2.68,185.93
Delhi,14-01-2018,217,137.73,247.72,117.84,163.91,2.56,188.16
Delhi,15-01-2018,210,141.5,293.54,157.07,83.2,2.35,138.95
Delhi,16-01-2018,238,164.75,314.28,142.21,195.22,2.04,169.06
Delhi,17-01-2018,220,155.74,263.7,110.52,134.82,2.46,159.8
Delhi,18-01-2018,284,182.28,360.09,106.08,196.61,3.05,158.36
Delhi,19-01-2018,212,157.84,278.45,120.03,193.97,2.55,193.26
Delhi,20-01-2018,245,147.75,334.57,189.52,159.69,2.87,154.06
Delhi,21-01-2018,345,205.31,436.44,199.33,206.02,3.44,145.61
Delhi,22-01-2018,270,171.48,343.94,149.12,198.3,2.27,139.63
Delhi,23-01-2018,281,177.35,377.8,147.72,166.73,2.71,155.64
Delhi,24-01-2018,237,147.51,282.2,135.59,163.35,3.06,141.62
Delhi,25-01-2018,252,165.11,336.68,120.64,208.92,2.09,138.38
Delhi,26-01-2018,271,178.22,382.95,178.38,182.96,2.65,137.75
Delhi,27-01-2018,249,152.98,298.03,190.84,207.34,3.5,139.24
Delhi,28-01-2018,260,183.51,341.02,121.66,104.33,2.39,140.98
Delhi,29-01-2018,232,163.99,260.44,141.93,178.95,3.09,169.98
Delhi,30-01-2018,245,170.17,320.82,132.75,128.68,2.49,111.0
Delhi,31-01-2018,260,163.97,336.24,133.49,175.23,3.46,142.46
Delhi,01-02-2018,278,174.55,360.01,142.15,158.91,1.18,122.5
Delhi,02-02-2018,205,137.23,275.87,79.7,189.67,2.03,153.72
Delhi,03-02-2018,185,116.35,204.82,124.16,109.35,1.26,118.85
Delhi,04-02-2018,212,153.95,233.2,130.71,121.73,1.65,121.17
Delhi,05-02-2018,168,113.08,200.0,108.95,134.63,1.65,122.8
Delhi,06-02-2018,182,141.68,260.06,134.83,108.26,1.87,79.41
Delhi,07-02-2018,159,98.31,177.39,116.19,166.86,1.41,141.48
Delhi,08-02-2018,199,110.94,229.34,142.93,135.4,1.96,140.44
Delhi,09-02-2018,198,141.44,328.3,74.44,141.16,2.23,145.36
Delhi,10-02-2018,227,152.27,293.02,103.78,156.11,1.23,187.65
Delhi,11-02-2018,218,140.93,261.26,110.7,135.35,1.68,92.54
Delhi,12-02-2018,194,135.19,249.08,45.69,112.97,3.27,87.8
Delhi,13-02-2018,208,131.48,253.54,85.35,135.61,2.16,142.65
Delhi,14-02-2018,152,107.93,180.22,92.16,111.81,1.09,116.56
Delhi,15-02-2018,193,123.1,237.5,136.21,140.74,1.3,100.36
Delhi,16-02-2018,220,128.29,257.27,94.83,167.41,2.11,117.94
Delhi,17-02-2018,192,158.64,307.71,92.05,102.25,2.05,109.54
Delhi,18-02-2018,197,144.37,288.03,132.94,91.53,1.71,168.12
Delhi,19-02-2018,195,102.24,207.27,72.05,138.98,3.1,181.55
Delhi,20-02-2018,215,143.98,220.41,60.72,114.47,3.31,84.11
Delhi,21-02-2018,173,129.8,265.72,103.46,138.45,1.87,88.09
Delhi,22-02-2018,205,123.96,215.4,76.31,147.11,2.44,106.02
Delhi,23-02-2018,156,149.73,251.62,77.26,73.19,2.46,107.76
Delhi,24-02-2018,233,158.12,267.29,126.84,158.2,2.53,105.62
Delhi,25-02-2018,223,156.13,309.64,134.4,102.41,1.68,120.14
Delhi,26-02-2018,185,120.72,222.68,132.22,136.83,2.97,113.83
Delhi,27-02-2018,174,131.32,199.04,140.22,117.72,1.97,91.16
Delhi,28-02-2018,206,144.13,288.18,143.53,120.94,2.21,99.33
Delhi,01-03-2018,155,121.26,187.21,34.0,152.57,1.48,131.16
Delhi,02-03-2018,173,92.17,179.31,94.51,111.33,1.41,83.56
Delhi,03-03-2018,161,98.04,193.42,70.01,128.89,1.62,82.28
Delhi,04-03-2018,144,79.62,177.85,64.56,106.28,0.89,54.49
Delhi,05-03-2018,128,77.83,201.32,97.26,120.35,0.49,80.92
Delhi,06-03-2018,153,118.0,183.26,39.99,114.27,1.37,116.52
Delhi,07-03-2018,149,128.87,243.29,39.47,109.38,1.04,107.39
Delhi,08-03-2018,153,100.31,182.3,99.09,134.96,1.75,112.78
Delhi,09-03-2018,167,121.82,244.47,95.44,106.45,1.7,62.41
Delhi,10-03-2018,173,108.98,213.54,86.67,170.3,1.49,62.01
Delhi,11-03-2018,132,88.85,158.23,61.25,130.57,2.22,120.84
Delhi,12-03-2018,141,108.98,193.83,101.85,67.56,1.48,113.16
Delhi,13-03-2018,173,132.51,218.28,100.26,96.45,0.75,86.04
Delhi,14-03-2018,157,101.03,221.6,85.38,113.66,1.37,113.83
Delhi,15-03-2018,172,133.04,266.56,53.82,103.08,2.07,62.43
Delhi,16-03-2018,81,49.36,121.31,72.62,122.36,0.54,61.39
Delhi,17-03-2018,157,118.19,215.25,104.2,125.66,1.43,52.06
Delhi,18-03-2018,162,103.49,176.93,116.43,60.96,1.77,101.54
Delhi,19-03-2018,159,95.77,149.61,75.09,140.18,2.81,97.92
Delhi,20-03-2018,144,103.59,207.58,77.01,86.85,2.08,79.44
Delhi,21-03-2018,88,62.0,86.6,79.21,83.87,1.55,72.99
Delhi,22-03-2018,145,97.36,240.44,90.12,83.78,1.74,152.86
Delhi,23-03-2018,132,108.89,167.67,68.72,126.01,0.53,86.02
Delhi,24-03-2018,169,131.31,257.69,34.0,93.74,0.96,127.2
Delhi,25-03-2018,142,91.38,220.64,113.07,81.84,1.81,88.84
Delhi,26-03-2018,177,85.58,180.57,128.12,89.03,1.56,79.98
Delhi,27-03-2018,143,91.71,179.53,67.94,47.91,1.62,127.92
Delhi,28-03-2018,153,120.06,199.06,56.58,76.49,1.5,112.25
Delhi,29-03-2018,142,108.33,164.36,79.82,64.56,1.48,91.9
Delhi,30-03-2018,123,91.15,196.3,78.56,93.67,1.53,120.84
Delhi,31-03-2018,157,112.02,258.01,108.14,121.68,0.95,155.51
Delhi,01-04-2018,168,103.69,183.85,84.62,118.37,1.37,74.19
Delhi,02-04-2018,181,121.12,195.96,63.43,139.45,0.86,104.29
Delhi,03-04-2018,79,87.71,92.9,50.29,132.77,1.17,82.27
Delhi,04-04-2018,149,95.2,151.45,104.89,85.89,2.08,69.14
Delhi,05-04-2018,162,93.91,175.02,98.24,102.32,1.39,68.44
Delhi,06-04-2018,136,72.48,185.69,109.76,100.77,1.78,132.31
Delhi,07-04-2018,169,107.67,224.77,59.05,46.0,1.54,46.88
Delhi,08-04-2018,170,106.97,212.4,129.21,65.23,1.29,105.2
Delhi,09-04-2018,139,101.85,181.52,39.66,96.73,0.98,71.87
Delhi,10-04-2018,140,97.06,166.92,100.99,96.56,1.28,136.81
Delhi,11-04-2018,126,73.44,181.71,35.51,117.12,1.57,85.67
